type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.delay,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.terminal,arrival.baggage,departure.estimatedTime,arrival.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway
departure,unknown,tlv,llbg,3,,,2021-12-05t06:45:00.000,,,,lhr,egll,,2021-12-05t10:20:00.000,,aeromexico,am,amx,7699,am7699,amx7699,virgin atlantic,vs,vir,454,vs454,vir454,3,,,,,,
departure,unknown,tlv,llbg,3,,,2021-12-05t06:45:00.000,,,,lhr,egll,,2021-12-05t10:20:00.000,,delta air lines,dl,dal,4421,dl4421,dal4421,virgin atlantic,vs,vir,454,vs454,vir454,3,,,,,,
departure,unknown,tlv,llbg,3,,,2021-12-05t06:45:00.000,,,,lhr,egll,,2021-12-05t10:20:00.000,,virgin atlantic,vs,vir,454,vs454,vir454,,,,,,,3,,,,,,
departure,active,tlv,llbg,3,,8,2021-12-05t06:50:00.000,2021-12-05t06:57:00.000,2021-12-05t06:57:00.000,2021-12-05t06:57:00.000,mxp,limc,b,2021-12-05t10:05:00.000,2021-12-05t09:38:00.000,american airlines,aa,aal,8385,aa8385,aal8385,el al,ly,ely,381,ly381,ely381,1,10,,,,,
departure,active,tlv,llbg,3,,8,2021-12-05t06:50:00.000,2021-12-05t06:57:00.000,2021-12-05t06:57:00.000,2021-12-05t06:57:00.000,mxp,limc,b,2021-12-05t10:05:00.000,2021-12-05t09:38:00.000,el al,ly,ely,381,ly381,ely381,,,,,,,1,10,,,,,
departure,active,tlv,llbg,3,,17,2021-12-05t06:55:00.000,2021-12-05t07:12:00.000,2021-12-05t07:12:00.000,2021-12-05t07:12:00.000,prg,lkpr,,2021-12-05t10:00:00.000,2021-12-05t09:57:00.000,israir airlines,6h,isr,767,6h767,isr767,,,,,,,1,,2021-12-05t06:55:00.000,,,,
departure,active,tlv,llbg,3,b08,17,2021-12-05t07:00:00.000,2021-12-05t07:16:00.000,2021-12-05t07:16:00.000,2021-12-05t07:16:00.000,muc,eddm,,2021-12-05t10:10:00.000,2021-12-05t09:55:00.000,brussels airlines,sn,bel,7166,sn7166,bel7166,lufthansa,lh,dlh,683,lh683,dlh683,2,,,,,,
departure,active,tlv,llbg,3,b08,17,2021-12-05t07:00:00.000,2021-12-05t07:16:00.000,2021-12-05t07:16:00.000,2021-12-05t07:16:00.000,muc,eddm,,2021-12-05t10:10:00.000,2021-12-05t09:55:00.000,united airlines,ua,ual,9470,ua9470,ual9470,lufthansa,lh,dlh,683,lh683,dlh683,2,,,,,,
departure,active,tlv,llbg,3,b08,17,2021-12-05t07:00:00.000,2021-12-05t07:16:00.000,2021-12-05t07:16:00.000,2021-12-05t07:16:00.000,muc,eddm,,2021-12-05t10:10:00.000,2021-12-05t09:55:00.000,lufthansa,lh,dlh,683,lh683,dlh683,,,,,,,2,,,,,,
departure,unknown,tlv,llbg,3,,,2021-12-05t07:00:00.000,,,,bus,ugsb,,2021-12-05t11:15:00.000,,israir airlines,6h,isr,883,6h883,isr883,,,,,,,,,,,,,
departure,active,tlv,llbg,3,,13,2021-12-05t07:05:00.000,2021-12-05t07:18:00.000,2021-12-05t07:18:00.000,2021-12-05t07:18:00.000,bud,lhbp,,2021-12-05t09:35:00.000,2021-12-05t09:17:00.000,el al,ly,ely,2365,ly2365,ely2365,,,,,,,2b,,2021-12-05t07:05:00.000,,,,
departure,active,tlv,llbg,3,,5,2021-12-05t07:10:00.000,2021-12-05t07:14:00.000,2021-12-05t07:14:00.000,2021-12-05t07:14:00.000,kbp,ukbb,,2021-12-05t10:35:00.000,2021-12-05t10:04:00.000,el al,ly,ely,2651,ly2651,ely2651,,,,,,,d,,2021-12-05t07:24:00.000,,,,
departure,active,tlv,llbg,3,,,2021-12-05t07:10:00.000,,,,dxb,omdb,,2021-12-05t12:45:00.000,,israir airlines,6h,isr,661,6h661,isr661,,,,,,,1,,,,,,
departure,active,tlv,llbg,3,,,2021-12-05t07:15:00.000,,,,ath,lgav,,2021-12-05t09:30:00.000,,el al,ly,ely,541,ly541,ely541,,,,,,,,,,,,,
departure,active,tlv,llbg,3,,6,2021-12-05t07:20:00.000,2021-12-05t07:26:00.000,2021-12-05t07:26:00.000,2021-12-05t07:26:00.000,saw,ltfj,,2021-12-05t10:35:00.000,2021-12-05t10:06:00.000,pegasus,pc,pgt,780,pc780,pgt780,,,,,,,,,2021-12-05t07:20:00.000,,,,
departure,active,tlv,llbg,3,,20,2021-12-05t07:25:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,prg,lkpr,,2021-12-05t10:35:00.000,2021-12-05t10:21:00.000,el al,ly,ely,2521,ly2521,ely2521,,,,,,,1,,2021-12-05t07:48:00.000,,,,
departure,active,tlv,llbg,3,,11,2021-12-05t07:25:00.000,2021-12-05t07:36:00.000,2021-12-05t07:36:00.000,2021-12-05t07:36:00.000,ist,ltfm,,2021-12-05t10:45:00.000,2021-12-05t10:25:00.000,turkish airlines,tk,thy,811,tk811,thy811,,,,,,,,,2021-12-05t07:25:00.000,,,,
departure,unknown,tlv,llbg,3,,,2021-12-05t07:30:00.000,,,,zrh,lszh,,2021-12-05t11:00:00.000,,american airlines,aa,aal,8393,aa8393,aal8393,el al,ly,ely,347,ly347,ely347,,,,,,,
departure,unknown,tlv,llbg,3,,,2021-12-05t07:30:00.000,,,,zrh,lszh,,2021-12-05t11:00:00.000,,el al,ly,ely,347,ly347,ely347,,,,,,,,,,,,,
departure,active,tlv,llbg,3,b07,6,2021-12-05t07:35:00.000,2021-12-05t07:40:00.000,2021-12-05t07:40:00.000,2021-12-05t07:40:00.000,zrh,lszh,,2021-12-05t10:55:00.000,2021-12-05t10:33:00.000,el al,ly,ely,8853,ly8853,ely8853,swiss,lx,swr,257,lx257,swr257,2,,,,,,
departure,active,tlv,llbg,3,b07,6,2021-12-05t07:35:00.000,2021-12-05t07:40:00.000,2021-12-05t07:40:00.000,2021-12-05t07:40:00.000,zrh,lszh,,2021-12-05t10:55:00.000,2021-12-05t10:33:00.000,swiss,lx,swr,257,lx257,swr257,,,,,,,2,,,,,,
departure,active,tlv,llbg,3,,25,2021-12-05t08:00:00.000,2021-12-05t08:25:00.000,2021-12-05t08:25:00.000,2021-12-05t08:25:00.000,kbp,ukbb,,2021-12-05t11:10:00.000,2021-12-05t11:18:00.000,uia,ps,aui,772,ps772,aui772,,,,,,,d,,2021-12-05t08:00:00.000,9,,,
departure,active,tlv,llbg,3,,34,2021-12-05t08:00:00.000,2021-12-05t08:33:00.000,2021-12-05t08:33:00.000,2021-12-05t08:33:00.000,bud,lhbp,,2021-12-05t10:25:00.000,2021-12-05t10:44:00.000,israir airlines,6h,isr,725,6h725,isr725,,,,,,,2b,,2021-12-05t08:00:00.000,20,,,
departure,active,tlv,llbg,,,,2021-12-05t08:00:00.000,,,,prg,lkpr,,2021-12-05t11:00:00.000,,blue bird airways,bz,bbg,462,bz462,bbg462,,,,,,,1,,,,,,
departure,active,tlv,llbg,3,,18,2021-12-05t08:05:00.000,2021-12-05t08:22:00.000,2021-12-05t08:22:00.000,2021-12-05t08:22:00.000,bus,ugsb,,2021-12-05t12:25:00.000,2021-12-05t12:19:00.000,arkia israeli airlines,iz,aiz,413,iz413,aiz413,,,,,,,,,2021-12-05t08:05:00.000,,,,
departure,active,tlv,llbg,3,,16,2021-12-05t08:40:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,tbs,ugtb,,2021-12-05t13:10:00.000,2021-12-05t13:04:00.000,aircompany armenia,rm,ngt,1696,rm1696,ngt1696,georgian airways,a9,tgz,696,a9696,tgz696,,,2021-12-05t08:40:00.000,,,,
