type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.delay,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.terminal,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.baggage,arrival.gate
arrival,landed,cdg,lfpg,a43,14.0,2021-12-09t22:30:00.000,2021-12-09t22:30:00.000,2021-12-09t22:44:00.000,2021-12-09t22:44:00.000,2021-12-09t22:44:00.000,tlv,llbg,3,,2021-12-10t03:55:00.000,2021-12-10t03:31:00.000,2021-12-10t03:31:00.000,2021-12-10t03:31:00.000,2021-12-10t03:31:00.000,el al,ly,ely,326,ly326,ely326,2a,,,,,,,,
arrival,unknown,lhr,egll,,,2021-12-09t21:15:00.000,,,,,tlv,llbg,3,,2021-12-10t04:15:00.000,,,,,aeromexico,am,amx,7698,am7698,amx7698,3,virgin atlantic,vs,vir,453,vs453,vir453,,
arrival,unknown,lhr,egll,,,2021-12-09t21:15:00.000,,,,,tlv,llbg,3,,2021-12-10t04:15:00.000,,,,,delta air lines,dl,dal,4420,dl4420,dal4420,3,virgin atlantic,vs,vir,453,vs453,vir453,,
arrival,unknown,lhr,egll,,,2021-12-09t21:15:00.000,,,,,tlv,llbg,3,,2021-12-10t04:15:00.000,,,,,virgin atlantic,vs,vir,453,vs453,vir453,3,,,,,,,,
arrival,landed,mad,lemd,s34,13.0,2021-12-09t22:45:00.000,2021-12-09t22:45:00.000,2021-12-09t22:57:00.000,2021-12-09t22:57:00.000,2021-12-09t22:57:00.000,tlv,llbg,3,,2021-12-10t04:20:00.000,2021-12-10t04:12:00.000,2021-12-10t04:14:00.000,2021-12-10t04:14:00.000,2021-12-10t04:14:00.000,aeromexico,am,amx,7878,am7878,amx7878,4s,el al,ly,ely,398,ly398,ely398,,
arrival,landed,mad,lemd,s34,13.0,2021-12-09t22:45:00.000,2021-12-09t22:45:00.000,2021-12-09t22:57:00.000,2021-12-09t22:57:00.000,2021-12-09t22:57:00.000,tlv,llbg,3,,2021-12-10t04:20:00.000,2021-12-10t04:12:00.000,2021-12-10t04:14:00.000,2021-12-10t04:14:00.000,2021-12-10t04:14:00.000,aerolineas argentinas,ar,arg,7870,ar7870,arg7870,4s,el al,ly,ely,398,ly398,ely398,,
arrival,landed,mad,lemd,s34,13.0,2021-12-09t22:45:00.000,2021-12-09t22:45:00.000,2021-12-09t22:57:00.000,2021-12-09t22:57:00.000,2021-12-09t22:57:00.000,tlv,llbg,3,,2021-12-10t04:20:00.000,2021-12-10t04:12:00.000,2021-12-10t04:14:00.000,2021-12-10t04:14:00.000,2021-12-10t04:14:00.000,iberia,ib,ibe,2397,ib2397,ibe2397,4s,el al,ly,ely,398,ly398,ely398,,
arrival,landed,mad,lemd,s34,13.0,2021-12-09t22:45:00.000,2021-12-09t22:45:00.000,2021-12-09t22:57:00.000,2021-12-09t22:57:00.000,2021-12-09t22:57:00.000,tlv,llbg,3,,2021-12-10t04:20:00.000,2021-12-10t04:12:00.000,2021-12-10t04:14:00.000,2021-12-10t04:14:00.000,2021-12-10t04:14:00.000,el al,ly,ely,398,ly398,ely398,4s,,,,,,,,
arrival,landed,prg,lkpr,b7,27.0,2021-12-09t23:45:00.000,2021-12-09t23:45:00.000,2021-12-10t00:11:00.000,2021-12-10t00:11:00.000,2021-12-10t00:11:00.000,tlv,llbg,3,10.0,2021-12-10t04:35:00.000,2021-12-10t04:44:00.000,2021-12-10t04:45:00.000,2021-12-10t04:45:00.000,2021-12-10t04:45:00.000,csa,ok,csa,5288,ok5288,csa5288,1,smartwings,qs,tvs,1286,qs1286,tvs1286,143,
arrival,landed,prg,lkpr,b7,27.0,2021-12-09t23:45:00.000,2021-12-09t23:45:00.000,2021-12-10t00:11:00.000,2021-12-10t00:11:00.000,2021-12-10t00:11:00.000,tlv,llbg,3,10.0,2021-12-10t04:35:00.000,2021-12-10t04:44:00.000,2021-12-10t04:45:00.000,2021-12-10t04:45:00.000,2021-12-10t04:45:00.000,smartwings,qs,tvs,1286,qs1286,tvs1286,1,,,,,,,143,
