type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.delay,arrival.baggage,arrival.gate
arrival,landed,skg,lgts,,,8.0,2021-12-05t07:35:00.000,2021-12-05t07:32:00.000,2021-12-05t07:43:00.000,2021-12-05t07:43:00.000,2021-12-05t07:43:00.000,tlv,llbg,3,2021-12-05t09:45:00.000,2021-12-05t09:33:00.000,2021-12-05t09:35:00.000,2021-12-05t09:35:00.000,2021-12-05t09:35:00.000,aegean airlines,a3,aee,548,a3548,aee548,,,,,,,,,
arrival,scheduled,ist,ltfm,,,,2021-12-05t09:00:00.000,,,,,tlv,llbg,,2021-12-05t10:00:00.000,,,,,mng airlines,mb,mnb,547,mb547,mnb547,,,,,,,,,
arrival,landed,krk,epkk,t,24,39.0,2021-12-05t05:45:00.000,2021-12-05t05:45:00.000,2021-12-05t06:23:00.000,2021-12-05t06:23:00.000,2021-12-05t06:23:00.000,tlv,llbg,1,2021-12-05t10:05:00.000,2021-12-05t10:28:00.000,2021-12-05t10:31:00.000,2021-12-05t10:31:00.000,2021-12-05t10:31:00.000,ryanair,fr,ryr,4083,fr4083,ryr4083,,,,,,,26.0,,
arrival,landed,bud,lhbp,2b,,48.0,2021-12-05t05:50:00.000,2021-12-05t05:50:00.000,2021-12-05t06:38:00.000,2021-12-05t06:38:00.000,2021-12-05t06:38:00.000,tlv,llbg,1,2021-12-05t10:05:00.000,2021-12-05t10:25:00.000,2021-12-05t10:26:00.000,2021-12-05t10:26:00.000,2021-12-05t10:26:00.000,wizz air,w6,wzz,2325,w62325,wzz2325,,,,,,,22.0,,
arrival,landed,vie,loww,1,g32,7.0,2021-12-05t05:45:00.000,2021-12-05t05:45:00.000,2021-12-05t05:52:00.000,2021-12-05t05:52:00.000,2021-12-05t05:52:00.000,tlv,llbg,1,2021-12-05t10:10:00.000,2021-12-05t09:49:00.000,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,ryanair,fr,ryr,7161,fr7161,ryr7161,,,,,,,,,
arrival,landed,yyz,cyyz,1,e71,14.0,2021-12-04t16:50:00.000,2021-12-04t17:13:00.000,2021-12-04t17:04:00.000,2021-12-04t17:04:00.000,2021-12-04t17:04:00.000,tlv,llbg,3,2021-12-05t10:15:00.000,2021-12-05t09:53:00.000,2021-12-05t09:56:00.000,2021-12-05t09:56:00.000,2021-12-05t09:56:00.000,air canada,ac,aca,80,ac80,aca80,,,,,,,,,
arrival,landed,cai,heca,3,,15.0,2021-12-05t08:50:00.000,2021-12-05t08:50:00.000,2021-12-05t09:04:00.000,2021-12-05t09:04:00.000,2021-12-05t09:04:00.000,tlv,llbg,3,2021-12-05t10:15:00.000,2021-12-05t10:07:00.000,2021-12-05t10:10:00.000,2021-12-05t10:10:00.000,2021-12-05t10:10:00.000,egyptair,ms,msr,591,ms591,msr591,,,,,,,,,
arrival,landed,bgy,lime,,,21.0,2021-12-05t05:45:00.000,2021-12-05t05:45:00.000,2021-12-05t06:06:00.000,2021-12-05t06:06:00.000,2021-12-05t06:06:00.000,tlv,llbg,1,2021-12-05t10:30:00.000,2021-12-05t10:21:00.000,2021-12-05t10:23:00.000,2021-12-05t10:23:00.000,2021-12-05t10:23:00.000,ryanair,fr,ryr,2005,fr2005,ryr2005,,,,,,,,,
arrival,landed,vie,loww,1,g3,12.0,2021-12-05t06:00:00.000,2021-12-05t06:00:00.000,2021-12-05t06:11:00.000,2021-12-05t06:11:00.000,2021-12-05t06:11:00.000,tlv,llbg,1,2021-12-05t10:30:00.000,2021-12-05t10:13:00.000,2021-12-05t10:18:00.000,2021-12-05t10:18:00.000,2021-12-05t10:18:00.000,wizz air,w6,wzz,2811,w62811,wzz2811,,,,,,,,,
arrival,landed,ayt,ltai,1,127,19.0,2021-12-05t10:15:00.000,2021-12-05t10:15:00.000,2021-12-05t10:34:00.000,2021-12-05t10:34:00.000,2021-12-05t10:34:00.000,tlv,llbg,,2021-12-05t10:45:00.000,2021-12-05t10:38:00.000,2021-12-05t10:38:00.000,2021-12-05t10:38:00.000,2021-12-05t10:38:00.000,corendon air,xc,cai,475,xc475,cai475,,,,,,,,,
arrival,landed,gyd,ubbb,1,,17.0,2021-12-05t09:30:00.000,2021-12-05t09:30:00.000,2021-12-05t09:46:00.000,2021-12-05t09:46:00.000,2021-12-05t09:46:00.000,tlv,llbg,3,2021-12-05t10:55:00.000,2021-12-05t10:55:00.000,2021-12-05t10:57:00.000,2021-12-05t10:57:00.000,2021-12-05t10:57:00.000,azal azerbaijan airlines,j2,ahy,21,j221,ahy21,,,,,,,3.0,,
arrival,landed,mxp,limc,1,13,49.0,2021-12-05t06:30:00.000,2021-12-05t06:30:00.000,2021-12-05t07:18:00.000,2021-12-05t07:18:00.000,2021-12-05t07:18:00.000,tlv,llbg,1,2021-12-05t11:20:00.000,2021-12-05t11:44:00.000,2021-12-05t11:43:00.000,2021-12-05t11:43:00.000,2021-12-05t11:43:00.000,wizz air,w6,wzz,5561,w65561,wzz5561,,,,,,,23.0,,
arrival,landed,sof,lbsf,2,b3,6.0,2021-12-05t08:50:00.000,2021-12-05t08:50:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,tlv,llbg,1,2021-12-05t11:25:00.000,2021-12-05t10:59:00.000,2021-12-05t11:00:00.000,2021-12-05t11:00:00.000,2021-12-05t11:00:00.000,ryanair,fr,ryr,2825,fr2825,ryr2825,,,,,,,,,
arrival,landed,auh,omaa,3,51,8.0,2021-12-05t10:05:00.000,2021-12-05t10:24:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,tlv,llbg,,2021-12-05t11:30:00.000,2021-12-05t11:14:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,el al,ly,ely,9600,ly9600,ely9600,etihad airways,ey,etd,598,ey598,etd598,,,
arrival,landed,auh,omaa,3,51,8.0,2021-12-05t10:05:00.000,2021-12-05t10:24:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,tlv,llbg,,2021-12-05t11:30:00.000,2021-12-05t11:14:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,etihad airways,ey,etd,598,ey598,etd598,,,,,,,,,
arrival,landed,kbp,ukbb,d,d1,56.0,2021-12-05t08:20:00.000,2021-12-05t08:20:00.000,2021-12-05t09:16:00.000,2021-12-05t09:16:00.000,2021-12-05t09:16:00.000,tlv,llbg,3,2021-12-05t11:30:00.000,2021-12-05t12:03:00.000,2021-12-05t12:01:00.000,2021-12-05t12:01:00.000,2021-12-05t12:01:00.000,skyup airlines,pq,sqp,533,pq533,sqp533,,,,,,,32.0,,
arrival,unknown,lgg,eblg,,,,2021-12-05t06:15:00.000,,,,,tlv,llbg,,2021-12-05t11:35:00.000,,,,,el al,ly,ely,872,ly872,ely872,,,,,,,,,
arrival,landed,dxb,omdb,3,,36.0,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,tlv,llbg,,2021-12-05t11:40:00.000,2021-12-05t11:36:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,emirates,ek,uae,2363,ek2363,uae2363,flydubai,fz,fdb,1163,fz1163,fdb1163,6.0,,
arrival,landed,dxb,omdb,3,,36.0,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,tlv,llbg,,2021-12-05t11:40:00.000,2021-12-05t11:36:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,flydubai,fz,fdb,1163,fz1163,fdb1163,,,,,,,6.0,,
