,type,status,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,codeshared.airline.icaoCode,arrival.delay,arrival.baggage,Bad_Weather_today,R,new_sick_per_day,avg_for_7_days,longitude,latitude,cancel
35,arrival,landed,lrop,8,2021-12-05t05:55:00.000,2021-12-05t05:55:00.000,2021-12-05t06:02:00.000,2021-12-05t06:02:00.000,2021-12-05t06:02:00.000,tlv,llbg,2021-12-05t08:35:00.000,2021-12-05t08:12:00.000,2021-12-05t08:13:00.000,2021-12-05t08:13:00.000,2021-12-05t08:13:00.000,wizz air,,0,,0,1.03,539,519,26.085,44.5711,1
36,arrival,landed,ltfm,19,2021-12-05t08:00:00.000,2021-12-05t08:00:00.000,2021-12-05t08:18:00.000,2021-12-05t08:18:00.000,2021-12-05t08:18:00.000,tlv,llbg,2021-12-05t08:55:00.000,2021-12-05t08:56:00.000,2021-12-05t09:00:00.000,2021-12-05t09:00:00.000,2021-12-05t09:00:00.000,turkish airlines,,6,,0,1.03,539,519,28.7519,41.2753,1
37,arrival,landed,ltfj,15,2021-12-05t07:45:00.000,2021-12-05t07:45:00.000,2021-12-05t07:59:00.000,2021-12-05t07:59:00.000,2021-12-05t07:59:00.000,tlv,llbg,2021-12-05t08:55:00.000,2021-12-05t08:37:00.000,2021-12-05t08:39:00.000,2021-12-05t08:39:00.000,2021-12-05t08:39:00.000,turkish airlines,,0,,0,1.03,539,519,29.3092,40.8983,1
38,arrival,landed,ltfj,16,2021-12-05t08:05:00.000,2021-12-05t08:05:00.000,2021-12-05t08:20:00.000,2021-12-05t08:20:00.000,2021-12-05t08:20:00.000,tlv,llbg,2021-12-05t09:10:00.000,2021-12-05t08:53:00.000,2021-12-05t08:57:00.000,2021-12-05t08:57:00.000,2021-12-05t08:57:00.000,pegasus,,0,,0,1.03,539,519,29.3092,40.8983,1
39,arrival,scheduled,kewr,144,2021-12-04t16:10:00.000,2021-12-04t18:24:00.000,2021-12-04t18:33:00.000,2021-12-04t18:33:00.000,2021-12-04t18:33:00.000,tlv,llbg,2021-12-05t09:20:00.000,2021-12-05t10:57:00.000,,,,united airlines,,98,,0,1.02,248,507,-74.1687,40.6925,0
40,arrival,landed,omdb,29,2021-12-05t07:40:00.000,2021-12-05t07:40:00.000,2021-12-05t08:09:00.000,2021-12-05t08:09:00.000,2021-12-05t08:09:00.000,tlv,llbg,2021-12-05t09:30:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,emirates,fdb,3,,0,1.03,539,519,55.3644,25.2528,1
41,arrival,landed,omdb,29,2021-12-05t07:40:00.000,2021-12-05t07:40:00.000,2021-12-05t08:09:00.000,2021-12-05t08:09:00.000,2021-12-05t08:09:00.000,tlv,llbg,2021-12-05t09:30:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,flydubai,,3,,0,1.03,539,519,55.3644,25.2528,1
42,arrival,landed,lgts,8,2021-12-05t07:35:00.000,2021-12-05t07:32:00.000,2021-12-05t07:43:00.000,2021-12-05t07:43:00.000,2021-12-05t07:43:00.000,tlv,llbg,2021-12-05t09:45:00.000,2021-12-05t09:33:00.000,2021-12-05t09:35:00.000,2021-12-05t09:35:00.000,2021-12-05t09:35:00.000,aegean airlines,,0,,0,1.03,539,519,22.9709,40.5197,1
43,arrival,scheduled,ltfm,0,2021-12-05t09:00:00.000,,,,,tlv,llbg,2021-12-05t10:00:00.000,,,,,mng airlines,,0,,0,1.03,539,519,28.7519,41.2753,1
44,arrival,landed,epkk,39,2021-12-05t05:45:00.000,2021-12-05t05:45:00.000,2021-12-05t06:23:00.000,2021-12-05t06:23:00.000,2021-12-05t06:23:00.000,tlv,llbg,2021-12-05t10:05:00.000,2021-12-05t10:28:00.000,2021-12-05t10:31:00.000,2021-12-05t10:31:00.000,2021-12-05t10:31:00.000,ryanair,,26,,0,1.03,539,519,19.7847,50.0778,1
45,arrival,landed,lhbp,48,2021-12-05t05:50:00.000,2021-12-05t05:50:00.000,2021-12-05t06:38:00.000,2021-12-05t06:38:00.000,2021-12-05t06:38:00.000,tlv,llbg,2021-12-05t10:05:00.000,2021-12-05t10:25:00.000,2021-12-05t10:26:00.000,2021-12-05t10:26:00.000,2021-12-05t10:26:00.000,wizz air,,22,,0,1.03,539,519,19.2619,47.4394,1
46,arrival,landed,loww,7,2021-12-05t05:45:00.000,2021-12-05t05:45:00.000,2021-12-05t05:52:00.000,2021-12-05t05:52:00.000,2021-12-05t05:52:00.000,tlv,llbg,2021-12-05t10:10:00.000,2021-12-05t09:49:00.000,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,ryanair,,0,,0,1.03,539,519,16.5697,48.1103,1
47,arrival,landed,cyyz,14,2021-12-04t16:50:00.000,2021-12-04t17:13:00.000,2021-12-04t17:04:00.000,2021-12-04t17:04:00.000,2021-12-04t17:04:00.000,tlv,llbg,2021-12-05t10:15:00.000,2021-12-05t09:53:00.000,2021-12-05t09:56:00.000,2021-12-05t09:56:00.000,2021-12-05t09:56:00.000,air canada,,0,,0,1.02,248,507,-79.6307,43.6767,0
48,arrival,landed,heca,15,2021-12-05t08:50:00.000,2021-12-05t08:50:00.000,2021-12-05t09:04:00.000,2021-12-05t09:04:00.000,2021-12-05t09:04:00.000,tlv,llbg,2021-12-05t10:15:00.000,2021-12-05t10:07:00.000,2021-12-05t10:10:00.000,2021-12-05t10:10:00.000,2021-12-05t10:10:00.000,egyptair,,0,,0,1.03,539,519,31.4139,30.1114,1
49,arrival,landed,lime,21,2021-12-05t05:45:00.000,2021-12-05t05:45:00.000,2021-12-05t06:06:00.000,2021-12-05t06:06:00.000,2021-12-05t06:06:00.000,tlv,llbg,2021-12-05t10:30:00.000,2021-12-05t10:21:00.000,2021-12-05t10:23:00.000,2021-12-05t10:23:00.000,2021-12-05t10:23:00.000,ryanair,,0,,0,1.03,539,519,9.7003,45.6689,1
50,arrival,landed,loww,12,2021-12-05t06:00:00.000,2021-12-05t06:00:00.000,2021-12-05t06:11:00.000,2021-12-05t06:11:00.000,2021-12-05t06:11:00.000,tlv,llbg,2021-12-05t10:30:00.000,2021-12-05t10:13:00.000,2021-12-05t10:18:00.000,2021-12-05t10:18:00.000,2021-12-05t10:18:00.000,wizz air,,0,,0,1.03,539,519,16.5697,48.1103,1
